Cost_bps,AR%,RISK%,R/R,MDD%,N_days,Trade_days,Trade%
0,-1.7843778452226555,5.5258957713612356,-0.32291196197917,-37.46381005096901,3832,521,13.596033402922755
1,-2.2831594871799448,5.543129924954957,-0.4118899463101612,-40.450766108312145,3832,911,23.77348643006263
3,-3.280722771094525,5.585032110815177,-0.5874134124925701,-46.081579583634195,3832,911,23.77348643006263
5,-4.278286055009104,5.636656482998376,-0.7590113160015215,-52.675485311665206,3832,911,23.77348643006263
10,-6.772194264795556,5.806430315164963,-1.166326623624201,-67.1092228864467,3832,911,23.77348643006263
20,-11.760010684368453,6.302317018242041,-1.8659820904485016,-84.88373250248752,3832,911,23.77348643006263
