,z>=0.0,z>=0.5,z>=1.0,z>=1.5,z>=2.0,v3_best,v3_gross,N225_B&H
2010-05-06,0.013731283055386812,0.013731283055386812,0.013731283055386812,0.013731283055386812,0.013731283055386812,0.013731283055386812,0.014031283055386812,-0.03271202526447137
2010-05-07,0.003960052346324131,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0,-0.030956448124048186
2010-05-10,-0.012839542317318915,-0.012959848072432256,-0.0066562273290740916,0.0,0.0,0.0,0.0,0.01602671731990113
2010-05-11,-0.02241108571149637,-0.02241108571149637,-0.022265166854080896,-0.02211108571149637,-0.02211108571149637,-0.02211108571149637,-0.02181108571149637,-0.011357325127415274
2010-05-12,0.003676062684253949,0.003676062684253949,-0.0003,-0.0003,-0.0003,-0.0003,-0.0,-0.0016395324776384834
2010-05-13,0.006893644791124949,0.006893644791124949,0.0065322043142450594,0.0,0.0,0.0,0.0,0.021793233740032836
2010-05-14,-0.0012572815246691426,-0.0012572815246691426,-0.0002768824107473936,0.0,0.0,0.0,0.0,-0.014880589232089236
2010-05-17,0.0015838251024282723,-0.00024515779935601196,-0.0,-0.0,-0.0,-0.0,-0.0,-0.021672620153244337
2010-05-18,-0.002009836938511571,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006721418800395007
2010-05-19,0.0019052722060200256,0.0,0.0,0.0,0.0,0.0,0.0,-0.005447795353809237
2010-05-20,0.008582937123881022,0.008641589476339978,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015365930537676764
2010-05-21,0.00029537479648724584,-0.00029649296819055446,-0.0,-0.0,-0.0,-0.0,-0.0,-0.024502686534962348
2010-05-24,-0.00011483342718445646,0.0,0.0,0.0,0.0,0.0,0.0,-0.002671525522216056
2010-05-25,0.0008441747083234953,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03059013057860205
2010-05-26,0.004386155683999289,0.004371037951953672,0.002549332768780683,-0.0,-0.0,-0.0,-0.0,0.00663543763672414
2010-05-27,0.014722878254096943,0.014722878254096943,-0.00017496984447192254,0.0,0.0,0.0,0.0,0.012292738414661386
2010-05-28,0.0010060608770823844,-0.00019509486714629518,-0.0,-0.0,-0.0,-0.0,-0.0,0.012786755806587502
2010-05-31,0.0030253026693149764,0.003113340052748959,0.0021651937589639964,0.0,0.0,0.0,0.0,0.0005858586505225194
2010-06-01,6.934755260603562e-05,-0.0003,-0.0002086370639518366,-0.0,-0.0,-0.0,-0.0,-0.005821666757138133
2010-06-02,-0.00014079449692818395,-0.00017402080151444037,-0.00017402080151444037,-0.00011096414952752977,-0.0,-0.00011096414952752977,8.033048058883918e-05,-0.0111811927182075
2010-06-03,0.009323134822489004,0.009323134822489004,-0.0003,-0.00019129463011636894,0.0,-0.00019129463011636894,0.0,0.032379716400246616
