AR%,RISK%,R/R,MDD%,N_days,Trade_days,Trade%,Strategy
-6.899395696800657,10.536839421429702,-0.6547879701733658,-70.84406128218802,3832,3832,100.0,z>=0.0
-6.469829022194283,9.908687937865029,-0.6529450783761691,-68.303759523355,3832,2885,75.28705636743214,z>=0.5
-4.200600154374879,8.132501858318541,-0.5165200362147087,-53.255563094194336,3832,1710,44.62421711899791,z>=1.0
-3.280722771094525,5.585032110815177,-0.5874134124925701,-46.081579583634195,3832,911,23.77348643006263,z>=1.5
-1.3387107305096329,4.308222954894729,-0.310733855820687,-30.105948932986244,3832,470,12.265135699373696,z>=2.0
