AR%,RISK%,R/R,MDD%,N_rebalances,Rebal/year,Strategy
-1.7008821569536032,24.47584444054467,-0.06949227680725335,-71.1458953117605,3160,204.08163265306123,Pair_hold1d
-0.09294454259939197,23.992143850792143,-0.0038739573744396016,-78.55981373027659,1088,70.2660811159907,Pair_hold3d
2.1133601480630664,22.601728775922197,0.09350435840617848,-61.09446426993445,674,43.52880392663395,Pair_hold5d
-1.7516357633107202,21.11410462658447,-0.08296045673209654,-68.04191377321311,331,21.37690519245673,Pair_hold10d
3.4183524538494874,21.866994828840465,0.1563247478954451,-75.36461511037949,179,11.560320330663911,Pair_hold20d
7.865741100444019,22.582033888673365,0.34831854115626393,-46.8081357354507,674,43.52880392663395,Pair_5d_gross
3.4101251960770527,25.172838330653562,0.13546844226637972,-68.59883123044442,745,48.114182381813485,Top1_hold5d
-0.6617460730097573,15.825586979234323,-0.041814946508971385,-44.88408954300158,754,48.69542753810385,Top2_hold5d
-1.6934802238057793,12.53268378854519,-0.1351251058734612,-51.714410924264975,746,48.17876517695686,Top3_hold5d
-6.460277210672399,10.57256291800212,-0.6110417370675896,-71.77660440265846,750,48.43709635753035,Top5_hold5d
-3.9616846055500683,11.784892704865522,-0.33616637034925606,-61.05915631372068,383,24.735210539912167,Top3_hold10d
-7.343462040947546,12.014715917531978,-0.6112056324387913,-75.92538633191151,193,12.464479462671145,Top3_hold20d
-19.71223465215061,12.396560323398607,-1.5901374363454361,-96.40052276013864,3281,211.89615086540945,Top5_hold1d
20.409670109754146,12.121824549481445,1.683712713910485,-14.822811571601715,3281,211.89615086540945,v1_gross
-19.71223465215061,12.396560323398607,-1.5901374363454361,-96.40052276013864,3281,211.89615086540945,v1_net
