AR%,RISK%,R/R,MDD%,N_buys,N_sells,Trades/yr,Strategy
24.72930740299039,16.8418980233907,1.4683206945348641,-27.816301837382678,205.0,195.0,36.95491500369549,Alpha Only (≥2)
25.406173877346138,17.38963554124743,1.460995189754486,-32.519534501134004,212.0,202.0,39.1156462585034,"Alpha+PCA (≥2,top30%)"
27.41569767785737,16.74277121978252,1.637464749292172,-24.814583172964298,205.0,195.0,37.79289493575208,"Alpha+PCA (≥2,top50%)"
17.925530792476884,15.162547416857697,1.1822242199584028,-39.097983590979894,171.0,162.0,30.764966740576497,Alpha Only (≥3)
15.415727199237237,14.898358142977516,1.0347265820363962,-29.530785225400624,,,0.0,JP Equal-Weight B&H
