,Alpha Only (≥2),"Alpha+PCA (≥2,top30%)","Alpha+PCA (≥2,top50%)",Alpha Only (≥3),JP Equal-Weight B&H
2015-01-08,0.0,,,0.0,0.011929771027470497
2015-01-09,0.0,,,0.0,0.00030130876780888523
2015-01-13,0.0,,,0.0,-0.00602774472082053
2015-01-14,0.0,,,0.0,-0.01571466723309206
2015-01-15,0.0,,,0.0,0.010107422392639577
2015-01-16,0.0,,,0.0,-0.007848196724435185
2015-01-19,0.0,,,0.0,0.006193227876729444
2015-01-20,0.0,,,0.0,0.01981960764684603
2015-01-21,0.0,,,0.0,-0.005179263519242622
2015-01-22,0.0,,,0.0,0.00330762862805993
2015-01-23,0.0,,,0.0,0.011803134961741594
2015-01-26,0.0,,,0.0,-0.004464337007445196
2015-01-27,0.0,,,0.0,0.01633295141618873
2015-01-28,0.0,,,0.0,0.0002825034017053905
2015-01-29,0.0,,,0.0,-0.01005675853363296
2015-01-30,0.0,,,0.0,0.0005582380554426653
2015-02-02,0.0,,,0.0,-0.005335618370368394
2015-02-03,0.0,,,0.0,-0.0069320288718816405
2015-02-04,0.0,,,0.0,0.02178863216921785
2015-02-05,0.0,,,0.0,-0.002133359527400277
2015-02-06,0.0,,,0.0,0.006463284413979371
2015-02-09,0.0,,,0.0,0.004562654783696119
2015-02-10,0.0,,,0.0,0.000257614730399908
2015-02-12,0.0,,,0.0,0.013079514140119552
2015-02-13,0.0,,,0.0,0.003387379319906723
2015-02-16,0.0,,,0.0,0.007881973845086297
2015-02-17,0.0,,,0.0,0.0012033422613337993
2015-02-18,0.0,,,0.0,0.009649462593495953
2015-02-19,0.0,,,0.0,0.005939404357991991
2015-02-20,0.0,,,0.0,0.00046803571364194355
2015-02-23,0.0,,,0.0,0.0007183485165363261
2015-02-24,0.0,,,0.0,0.005174479734929926
2015-02-25,0.0,,,0.0,-0.0006781241142590575
2015-02-26,0.0,,,0.0,0.009677659055233859
2015-02-27,0.0,,,0.0,0.0006749098670920553
2015-03-02,0.0,,,0.0,-0.0008271771151778534
2015-03-03,0.0,,,0.0,0.001474209852889135
2015-03-04,0.0,,,0.0,-0.007079837034564702
2015-03-05,0.0,,,0.0,0.00529430853842623
2015-03-06,0.0,,,0.0,0.010209040854549255
2015-03-09,0.0,,,0.0,-0.008703675192056882
2015-03-10,0.0,,,0.0,-0.006662639697158562
2015-03-11,0.0,,,0.0,-0.0004116448031600599
2015-03-12,0.0,,,0.0,0.01188719998475643
2015-03-13,0.0,,,0.0,0.010188305025613017
2015-03-16,0.0,,,0.0,-0.005357011339480707
2015-03-17,0.0,,,0.0,0.007194138992425668
2015-03-18,0.0,,,0.0,0.004437642439311215
2015-03-19,0.0,,,0.0,-0.00447405073509199
2015-03-20,0.0,,,0.0,0.0028699244141232247
2015-03-23,0.0,,,0.0,0.006790340685881815
2015-03-24,0.0,,,0.0,2.244316222687081e-05
2015-03-25,0.0,,,0.0,0.0031921035951336576
2015-03-26,0.0,,,0.0,-0.009781484467730974
2015-03-27,0.0,,,0.0,-2.866562550557832e-05
2015-03-30,0.0,,,0.0,0.00018510339390049083
2015-03-31,0.0,,,0.0,-0.011732811436292687
2015-04-01,0.0,,,0.0,-0.006606539695908735
2015-04-02,0.0,,,0.0,0.014388182669716325
2015-04-03,0.0,,,0.0,0.005031441577504137
2015-04-06,0.0,0.0,0.0,0.0,-0.00227300270397829
2015-04-07,0.0,0.0,0.0,0.0,0.01547111080930869
2015-04-08,0.0,0.0,0.0,0.0,0.008303100907768826
2015-04-09,0.0,0.0,0.0,0.0,0.005688223760863916
2015-04-10,0.0,0.0,0.0,0.0,-0.002004261607866935
2015-04-13,0.0,0.0,0.0,0.0,-3.765920655276652e-05
2015-04-14,0.0,0.0,0.0,0.0,0.0029841053224604454
2015-04-15,0.0,0.0,0.0,0.0,0.0016409887276677617
2015-04-16,0.0,0.0,0.0,0.0,0.008407934069804718
2015-04-17,0.0,0.0,0.0,0.0,-0.001051660068207789
2015-04-20,0.0,0.0,0.0,0.0,-0.0030184248427827924
2015-04-21,0.0,0.0,0.0,0.0,0.015587344233992773
2015-04-22,0.0,0.0,0.0,0.0,0.008334963013643636
2015-04-23,0.0,0.0,0.0,0.0,0.002541265435202983
2015-04-24,0.0,0.0,0.0,0.0,-0.0032781105471075037
2015-04-27,0.0,0.0,0.0,0.0,0.0003087610144994599
2015-04-28,0.0,0.0,0.0,0.0,0.007800186066841327
2015-04-30,0.0,0.0,0.0,0.0,-0.020743482114611404
2015-05-01,0.0,0.0,0.0,0.0,-0.0010105085806440637
2015-05-07,0.0,0.0,0.0,0.0,-0.0013486569201463354
2015-05-08,0.0,0.0,0.0,0.0,0.006145848697523655
2015-05-11,0.0,0.0,0.0,0.0,0.01113053558323985
2015-05-12,0.0,0.0,0.0,0.0,0.0033916218683465
2015-05-13,0.0,0.0,0.0,0.0,0.004684420323585497
2015-05-14,0.0,0.0,0.0,0.0,-0.009443617266606509
2015-05-15,0.0,0.0,0.0,0.0,0.00854583446353773
2015-05-18,0.0,0.0,0.0,0.0,0.017370554511470373
2015-05-19,0.0,0.0,0.0,0.0,0.0030811287824050976
2015-05-20,0.0,0.0,0.0,0.0,0.006065479657965867
2015-05-21,0.0,0.0,0.0,0.0,0.004137054321694703
2015-05-22,0.0,0.0,0.0,0.0,0.0033059219897054845
2015-05-25,0.0,0.0,0.0,0.0,0.010527325825678844
