Scenario,Spread,Commission,Impact,AR%,R/R,MDD%
Ultra-low,1.0,1.0,1.0,4.200281026458401,0.8367566331346544,-10.123114229059906
Instit.,2.0,2.0,2.0,1.0827108674939478,0.21543330287736615,-15.161888800429868
Default,3.0,3.0,5.0,-4.941847228447031,-0.9778285178605728,-56.933685713869
Retail,5.0,5.0,10.0,-15.53746945184073,-3.0163834761729422,-91.75649407927165
High,10.0,8.0,15.0,-28.906551992694734,-5.402231673127459,-98.98051689997219
