,v1_gross,v1_net,MOM,MT3,MT3_gross,MT5,MT5_gross,MT5_ema3,MT5_ema5,v2_best,v2_best_gross,Ensemble
2010-04-05,,,-0.0017866597296354913,,,,,,,,,
2010-04-06,-0.012168109270873055,-0.014068109270873055,-0.01290774115530103,-0.012801442604206388,-0.012168109270873055,-0.012548109270873055,-0.012168109270873055,-0.012548109270873055,-0.012548109270873055,-0.016848451426646777,-0.01646845142664678,-0.02121481485934006
2010-04-07,0.00900797384329924,0.00900797384329924,-0.001522922982888497,0.008374640509965907,0.00900797384329924,0.00862797384329924,0.00900797384329924,0.00862797384329924,0.00862797384329924,0.0023287789065325757,0.002708778906532576,-0.010666338375474633
2010-04-08,-0.000823335142378083,-0.0014363173551915536,-0.00012409575673012828,5.3187872921632877e-05,0.0006865212062549662,0.00030652120625496615,0.0006865212062549662,0.0009348785372786911,0.0009348785372786911,-0.0003268130644378031,5.318693556219693e-05,0.0034702040894236032
2010-04-09,-0.010628950049012986,-0.010898392768112978,-0.0015360457883892027,-0.009604851828316037,-0.00940052442404488,-0.00906785701059394,-0.00868785701059394,-0.008969402409627052,-0.008969402409627052,-0.009491334146114486,-0.009111334146114486,-0.004433723904858548
2010-04-12,-0.00679539779980011,-0.0114238249245463,0.0030640973106418035,0.0006068543737853985,0.002149663415367462,0.002259524345733876,0.0026395243457338763,0.0042241855432110535,0.0042241855432110535,0.00029291315321189175,0.0006729131532118918,-0.011137067058976123
2010-04-13,0.0010358170806948385,-0.0035926100440513515,0.0004845374959161039,0.0009259524739756304,0.0011302798782467872,0.0008696274712373424,0.0008696274712373424,0.001532091526335717,0.001532091526335717,0.0034819056579562533,0.0034819056579562533,0.0008904980654604195
2010-04-14,-0.0002647874295973172,-0.0008777696424107877,0.000207940297554169,-0.0016173711465701484,-0.0016173711465701484,-0.0008082203821554784,-0.0006856239395927842,-0.0014408868358287993,-0.0016721279139331868,-0.001971759105736806,-0.001971759105736806,-0.0061169657418166
2010-04-15,0.004990200912108941,0.004720758193008949,0.0031560815179817753,0.001699321680648038,0.0032421307222301014,0.0019473029486476092,0.0020698993912103033,0.0028386281404343353,0.003350628445315099,0.005744336831894792,0.005744336831894792,-0.0017634165965707083
2010-04-16,-0.0029451828770852423,-0.003214625596185234,-0.0011288376288961744,-0.003341121036257646,-0.0031367936319864893,-0.002258323916106521,-0.002258323916106521,-0.0034428516882625314,-0.003557818141203279,-0.002586005007457648,-0.002586005007457648,-0.00870496236515305
2010-04-19,-0.006635041112344696,-0.011263468237090887,-0.004302097737613594,-0.00016036118507708618,0.0013824478565049772,0.0030617130054178834,0.0031843094479805773,0.0022586240230313393,0.0028391561259699925,0.007510029051080349,0.007738895261870713,0.011553894799345396
2010-04-20,0.010328602223616697,0.009715620010803228,-0.003705591371842181,0.0007642904192823401,0.0023070994608644035,-0.003989379973177523,-0.0030636945482282853,-0.003989379973177523,-0.004586625864726107,-0.0030557488898344397,-0.0021300634648852017,-2.107014800882152e-05
2010-04-21,0.005450017585274339,0.0035500175852743393,-0.001731156279821789,0.004252875999127805,0.0055978604710277295,-0.0001039574957264588,0.0007030331874134958,-0.00040762712810226104,-0.0026405303827011875,-0.0018549043202745823,-0.0009292188953253443,0.000846638636898628
2010-04-22,0.003509907752812613,-0.0005250456628871601,0.00920959650475656,-0.0018325656023092764,-0.00028975656072721315,-0.00011648604168900856,-6.259749786901026e-05,-0.0008023620490342176,0.00023159745362857126,0.0007933964971814717,0.0007933964971814717,0.0008123730416585816
2010-04-23,-0.0020267816507892004,-0.002296224369889192,0.001756405458165718,-0.005592630382920558,-0.004049821341338494,-0.001157988431634504,-0.0011040998878145056,-0.000555640132644326,-0.00046329647538443253,-0.0006056322263643585,-0.0006056322263643585,-0.00847178516943929
2010-04-26,0.0032238311728843777,0.002610848960070907,0.002455312750184965,0.0031007812590632257,0.004072948705485856,0.00011373655048890004,0.001039421975438138,-0.00022542159163776597,0.0008853175011846664,-0.0007874109952773614,-0.0005585447844869979,0.006279225898980028
2010-04-27,0.0038032257751718103,0.0031902435623583397,0.008443829039244795,0.0022184729425660625,0.0024228003468372192,0.0011328809787799913,0.0020585664037292293,0.0015353963305741844,0.0018449228364463034,0.0019599204508970744,0.0028856058758463124,0.010351843669812661
2010-04-28,-0.002607346016622965,-0.006071203719130728,0.013056712253587057,0.004263351223218837,0.0058061602648009,0.00898287310141271,0.00956617356926629,0.010806715887447717,0.012968500605461236,0.004043450846656284,0.004969136271605522,0.0021762034421992068
2010-04-30,0.008790590557117327,0.006890590557117327,-0.004401149348402137,0.003963710680487619,0.005118329914656873,-0.004019768135945501,-0.0030940827109962633,-0.006186547687325933,-0.012916140289401079,-0.0012946335825684534,-0.000746713439000653,-0.004091556055292334
2010-05-06,0.00027370803287082683,-0.0007310499686740632,-0.010288283130658918,-0.0036629635443397586,-0.0021201545027576952,-0.0021355964367708626,-0.0012099110118216243,-0.003176778711613966,-0.004469845028028906,-0.003861911741410608,-0.00293622631646137,-0.0041469473694342954
2010-05-07,0.004687872577108705,5.944545236251462e-05,-0.003782166415311462,-0.0034467707961691975,-0.002292151561999943,-0.0028986400147322303,-0.0027760435721695363,-0.005663022461861817,-0.0014913271206400875,-0.002337781233683038,-0.0014120958087338001,-0.0009057762454352499
2010-05-10,-0.006692309567393796,-0.011320736692139986,0.006632257032871132,-0.003731508405762761,-0.0033965890719144646,-0.005304704945238202,-0.004379019520288964,-0.0030605644818117997,-0.0029462907047830373,-0.001745805342203489,-0.0008201199172542511,0.0023385817115863755
2010-05-11,-0.01839341149966286,-0.022428364915362636,-0.01734069533304662,-0.006717400615350382,-0.005372416143450458,0.003567777810592471,0.004493463235541709,0.006537241338963087,0.00960600180196691,0.0006961371140719188,0.0012440572576397193,-0.0012006999165716892
2010-05-12,0.0010503504817041878,-0.002984602933995585,-0.010653480559213823,0.0005418592908641418,0.002084668332446205,0.0006275557048708633,0.0008285073051798413,0.00029288349691828215,0.00011400729109572452,-0.0011474404638989074,-0.0004171089809869722,0.0008122646142995812
2010-05-13,0.003088355427370812,-0.001540071697375378,0.001987169152686509,-0.0012834280693078193,0.00025938097227424405,1.2028200866340245e-05,0.0009377136258155782,-0.001216300736881293,-0.0031432174451987453,-0.001276677098251138,-0.00035099167330190017,1.555493845634522e-05
2010-05-14,-0.0002469661590688505,-0.0037108238615766137,-0.0023970135717204105,-0.00084303033628193,0.0005019541356179944,-0.0006952845632431299,-0.00011198409538955151,-0.0012186534600801455,-0.001040629090543445,0.0002528464454032894,0.0006328464454032894,-0.003675900133247806
2010-05-17,0.014761973278236638,0.012861973278236637,-0.009629425592824115,0.0032705875343457627,0.00336040177404576,0.0013865525180592636,0.0013865525180592636,-0.0024976351277305616,0.002954376264166127,0.00013688626383925623,0.0002353762817852313,-0.003272956436417736
2010-05-18,0.017287923953004228,0.017018481233904235,-0.008336092349841201,0.013775227193110291,0.015318036234692354,0.00792995123378552,0.008736941916925475,0.004723915689032462,0.0075676049840877144,0.00176373751874156,0.0019926037295319235,-0.0018837852184509466
2010-05-19,-0.017290859911606348,-0.01756030263070634,0.0007345264683556296,-0.01799791800726414,-0.017364584673930806,-0.008216242610903937,-0.00816235406708394,-0.004201688954371949,-0.0062388902724817286,-0.0009169955652238205,-0.0009169955652238205,0.0027455445623396487
2010-05-20,-0.0126825221207363,-0.01671747553643607,0.0006414635743002828,-0.00041639054511278726,0.0009285939267871371,0.00022959911570591973,0.00043055071601489774,0.001912751692807978,0.002121706550844601,-0.0009309479945542798,-5.2625696050417545e-06,-0.002972253929249586
2010-05-21,0.019842464995593424,0.019842464995593424,0.004024906641948211,0.005088177948457387,0.0064331624203573115,-0.004530656499810704,-0.004051749672208224,-0.012462015127133673,-0.013954713702382257,-0.003031144054523513,-0.0024832239109557125,0.0026100176959326514
