,MOM,PCA_PLAIN,PCA_SUB,DOUBLE
2010-04-07,0.0035080474457464426,,,
2010-04-08,0.00339533828005536,-0.0028191774771424206,0.0034667539650377497,0.005714187930851105
2010-04-09,-0.00017539148598706423,0.004221990751285887,2.750142052010407e-05,0.0024024965939254
2010-04-12,0.0008674859249175438,0.0012976674817789747,-0.009626974567550461,-0.0036375606720104496
2010-04-13,0.002201119319033573,0.002173171651154093,-0.000835358159923394,-0.0003721884406073404
2010-04-14,-0.0017101108149005337,-0.00236940569113413,-0.0026893713051223457,-0.0011643059066076878
2010-04-15,0.0046315484951730875,-0.0011577013276516945,0.003081160898273816,0.0036559185790057402
2010-04-16,-0.0011871575067509575,-0.002646299287535237,-0.004272862388784171,-0.0010280434098348373
2010-04-19,0.006900167946463043,0.0024786977880959737,-0.0011478094883763611,0.0038392914125143455
2010-04-20,-0.003392616636168744,-0.0014039654124588631,0.008517112342269817,0.004773682438358887
2010-04-21,-0.0048962326118103805,-0.0024270617811507967,-0.0036711024376387294,-0.0020830071947781637
2010-04-22,0.007897573605162434,0.0020273482968073075,0.004157497172076474,0.0031716795026935753
2010-04-23,0.00042944384703966774,-0.0031516473380720274,0.00025874769504443686,-0.002792666669200727
2010-04-26,0.0014266007514959433,0.0030059267432938075,0.007395209598945218,0.0038252424817477927
2010-04-27,0.005386147319825807,0.0017806245115978172,0.0037614322706511993,0.004455815155823847
2010-04-28,0.006644200190927507,0.000726100968718546,0.00044366263270658726,0.003968084541912303
2010-04-30,0.00038942094585887616,-0.004399083970454587,0.004052015198775338,0.009761563732768208
2010-05-06,-0.010763294546694823,0.00939340881117301,0.010242470903081436,0.0028347289885257516
2010-05-07,-0.005858663233194372,-0.004259518855800071,-0.0048083409764642536,-0.005864944475560141
2010-05-10,0.002523255123837286,-0.011205541600025425,-0.01155111155023618,-0.011888405203678976
2010-05-11,-0.0036397534585018926,-0.0006865494328475163,-0.0016439926197795891,-0.005652896528808721
2010-05-12,-0.007629804696056764,-0.0046067028867205154,0.0026997603335273236,-0.004001053330647847
