Strategy,Model,Alpha(daily),Alpha_t,Alpha_p,R2,Mkt-RF,SMB,HML,Mkt-RF_t,SMB_t,HML_t,WML,WML_t
MOM,FF3,0.00016844358487119726,1.5543180751645933,0.12010856408680476,0.004177747981030544,-0.0300699978783212,-0.01773341560492842,-0.032691430690652536,-1.9872232155861247,-0.8752638518863771,-1.703449398685235,,
MOM,Carhart4,0.0001643331225628877,1.5212195257808454,0.1282047570883604,0.006422121261363434,-0.028355610779088356,-0.008783450527908578,-0.018267877347331866,-1.8940765330344105,-0.43724815041951215,-0.9531600439218493,0.03703789762484473,2.330990059626675
PCA_PLAIN,FF3,0.00028120029158522895,2.5959917645629518,0.009431832587585287,0.0008034147004055692,-0.0012211843796051517,0.02509143642305843,-0.011864432722901004,-0.09778421002792265,1.0196358375434702,-0.7658059769084367,,
PCA_PLAIN,Carhart4,0.0002828242512333447,2.6148624395495874,0.008926339813397677,0.0012363004678671574,-0.001893878497647672,0.021583954948141883,-0.0175179748539601,-0.15491457399337522,0.8499103383306039,-1.106775804087181,-0.014519011118773848,-1.16047488870379
PCA_SUB,FF3,0.0009885811860148902,8.193487926413695,2.537629246733249e-16,0.00032664345104083115,-0.0031234032212807405,0.0011227380135952266,0.014931465293885948,-0.2530609482711389,0.05161323235317128,0.9875921897239454,,
PCA_SUB,Carhart4,0.0009886438372786596,8.182218228650626,2.7866579321281325e-16,0.0003272094899642308,-0.003149355304927047,0.000987421752930163,0.01471335546603418,-0.25484094817369624,0.0450764150345773,0.8905294785959229,-0.0005601336192926662,-0.042110818343223375
DOUBLE,FF3,0.0006194556474039287,5.110340927755293,3.215779760174763e-07,0.0022827053698286637,-0.026256088501883677,-0.019327205310212002,-0.0002627421666819647,-1.9718334002259148,-0.9560640744579093,-0.014622291410882034,,
DOUBLE,Carhart4,0.0006159710242840318,5.080661232387052,3.761233438956894e-07,0.003685478924975616,-0.024880534319768662,-0.012059394141532629,0.011489960447984233,-1.8762122325402657,-0.5947424657535129,0.6037089617746833,0.030314130959379584,1.9201438748036979
