AR%,RISK%,R/R,MDD%,Trades/yr,Strategy
-9.9799164823854,15.504206712417817,-0.6436908812878613,-74.21707840992778,167.62672811059906,Step0: Alpha+PCA (51 stocks)
-12.151233601467936,13.118270682829458,-0.9262831889398898,-78.9536670988885,156.29800307219662,Step1: +3 factors (51 stocks)
-27.77814599995296,14.556941325325088,-1.9082405691659006,-95.2851534884097,259.31259600614436,Step2: +universe (120 stocks)
-52.93569574979475,8.899028356275375,-5.948480399263568,-99.54389811495727,357.5268817204301,Step3: +130/30
-37.93510754322165,10.189328675660267,-3.723023248218407,-98.02627336969444,306.6436251920123,Step4: +XGBoost
10.357860889240076,10.134297705818097,1.0220600568398173,-15.004266870286795,306.6436251920123,Step4 gross (no costs)
14.537945499713732,14.618885065357501,0.9944633557701625,-33.946943801608974,0.0,JP B&H
