AR%,RISK%,R/R,MDD%,N_rebalances,Turnover/yr,Cost/yr%,Strategy
2.7219970943414116,10.938060172101462,0.24885556044792273,-34.485947134554124,411,28.996560214676837,2.899656021467684,baseline_gross
-0.17765892712627349,10.894347383809219,-0.016307440993694005,-48.91453853900307,411,28.996560214676837,2.899656021467684,+ costs
-0.11001738146658296,10.724699213729979,-0.010258318604006764,-48.208646768610954,411,27.65272620136394,2.765272620136394,+ turnover_pen
-0.30213275793020056,10.967742465443258,-0.027547397186079892,-49.00848660724682,411,27.65272620136394,2.765272620136394,+ vol_target
0.11664732488012952,3.0347322601644597,0.03843743529249862,-10.111183751393023,29,1.9077981439666578,0.1907798143966658,v4_full
1.0561032781514057,4.687982170574428,0.2252788598003561,-12.046436300828473,126,8.954978572389834,0.8954978572389833,v4_rebal_1w
0.11664732488012952,3.0347322601644597,0.03843743529249862,-10.111183751393023,29,1.9077981439666578,0.1907798143966658,v4_rebal_2w
0.0528163405577347,2.718165360689845,0.01943087838641664,-10.964538072548075,13,0.987817170235549,0.09878171702355491,v4_rebal_4w
-0.31215753548293557,2.1022266596899657,-0.14848900048150482,-10.377737802494993,4,0.41028312131200606,0.0410283121312006,v4_rebal_8w
-0.17917472093175818,2.6634602142793633,-0.06727140881292888,-12.260596017694672,37,2.576300876722454,0.25763008767224543,v4_vol5pct
0.05474780716581246,2.9486792821379426,0.018566891115441183,-10.281339172847757,33,2.286134376349333,0.2286134376349333,v4_vol8pct
0.11664732488012952,3.0347322601644597,0.03843743529249862,-10.111183751393023,29,1.9077981439666578,0.1907798143966658,v4_vol10pct
0.09153568045385486,3.248255482995751,0.028179951033111085,-11.38383323416693,26,1.6300883637558967,0.1630088363755897,v4_vol15pct
-0.055365945564747304,3.6420307771101106,-0.015201943353339601,-13.798695675054407,26,1.6300883637558967,0.1630088363755897,v4_vol20pct
