,baseline_gross,+ costs,+ turnover_pen,+ vol_target,v4_full,v4_rebal_1w,v4_rebal_2w,v4_rebal_4w,v4_rebal_8w,v4_vol5pct,v4_vol8pct,v4_vol10pct,v4_vol15pct,v4_vol20pct
2010-04-16,0.009249652445757088,0.008249652445757087,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775,0.00795818403930775
2010-04-23,-0.007039710014042884,-0.007039710014042884,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.004091205581243995,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798,-0.006661400862203798
2010-04-30,0.0038033122252902054,0.0035827052292137706,0.004123751335175522,0.004123751335175522,0.004123751335175522,0.0037961734878505147,0.004123751335175522,0.006216092401566983,0.006216092401566983,0.004123751335175522,0.004123751335175522,0.004123751335175522,0.004123751335175522,0.004123751335175522
2010-05-07,0.010228633662464624,0.010228633662464624,0.009688739064490207,0.009688739064490207,0.009688739064490207,-0.01122428381432453,0.009688739064490207,0.008089359240398108,0.008089359240398108,0.009688739064490207,0.009688739064490207,0.009688739064490207,0.009688739064490207,0.009688739064490207
2010-05-14,-0.0008583674116279163,-0.0028290800012482943,-0.0026932787122197033,-0.0026932787122197033,-0.0026932787122197033,-8.235053657361477e-06,-0.0026932787122197033,-0.002686303846075016,-0.017812439779886367,-0.0026932787122197033,-0.0026932787122197033,-0.0026932787122197033,-0.0026932787122197033,-0.0026932787122197033
2010-05-21,0.001799423678104188,0.001799423678104188,0.001935376995809832,0.001935376995809832,0.001935376995809832,0.0024762493585017194,0.001935376995809832,0.0019176589254476697,-0.004143158859021289,0.001935376995809832,0.001935376995809832,0.001935376995809832,0.001935376995809832,0.001935376995809832
2010-05-28,0.002740156793947625,0.0011654357114075126,0.001058771430790396,0.001058771430790396,0.001058771430790396,0.000679358766817087,0.001058771430790396,-0.004079042928851053,0.0026180832138773392,0.001058771430790396,0.001058771430790396,0.001058771430790396,0.001058771430790396,0.001058771430790396
2010-06-04,-0.026548613538357073,-0.026548613538357073,-0.026002856631170582,-0.026002856631170582,-0.026002856631170582,0.012700153666638186,-0.026002856631170582,0.02015163695993589,-0.02721331619020668,-0.026002856631170582,-0.026002856631170582,-0.026002856631170582,-0.026002856631170582,-0.026002856631170582
2010-06-11,0.04029914197060866,0.03842755771308488,0.037388661509607304,0.037388661509607304,0.037388661509607304,0.03820867339934137,0.037388661509607304,0.03925463653558701,0.03740389131582317,0.037388661509607304,0.037388661509607304,0.037388661509607304,0.037388661509607304,0.037388661509607304
2010-06-18,0.013551026502609552,0.013551026502609552,0.01305439440774182,0.01305439440774182,0.01305439440774182,0.009565612311894716,0.01305439440774182,0.01276461250431711,0.012875973823166409,0.01305439440774182,0.01305439440774182,0.01305439440774182,0.01305439440774182,0.01305439440774182
